,base frame,end effector frame
0,arm_base_link,arm_7_link
,x,y,z,qx,qy,qz,qw,time
0,-0.32539259559,0.206357825838,-0.348764824526,-0.122667946399,-0.621377288727,-0.0243737941285,0.773465421425,0.370419979095
1,-0.325121317167,0.206414111184,-0.348870261879,-0.122652960168,-0.621373301282,-0.0243423656773,0.773471991122,0.931752920151
2,-0.310852490193,0.179523021523,-0.301320503556,-0.0995350125816,-0.49855259374,-0.0781136441539,0.857575857369,1.44188904762
3,-0.299015830861,0.118728310799,-0.246015078739,-0.0753171723791,-0.353894120619,-0.0389130919102,0.931435476141,1.95095801353
4,-0.285501811174,0.0734721914783,-0.205672815549,-0.0440083967826,-0.245821796473,-0.0233551736555,0.968033801711,2.45540499687
5,-0.271851391752,0.0467496699326,-0.173854743597,-0.0243384888734,-0.162770949319,-0.0130949652953,0.98627672481,2.96188807487
6,-0.256767065955,0.0310077009082,-0.146004811401,-0.0126930438325,-0.0981152527993,-0.00707797557156,0.995068935335,3.46886205673
7,-0.241564644156,0.0210347141891,-0.123223174797,-0.00574406327319,-0.052529513479,-0.00355435779166,0.998596526377,3.97238707542
8,-0.228828981069,0.0149274853389,-0.107029301625,-0.0019984690726,-0.0261666276292,-0.00168193147384,0.999654182618,4.47695398331
9,-0.217509869367,0.0109086238052,-0.0943388165458,4.98975536385e-05,-0.0103007921057,-0.000716880824684,0.999946687216,4.99121904373
10,-0.20681150003,0.00809132505528,-0.0835591850735,0.0011501399754,-0.00053523196125,-0.000236773236516,0.999999167321,5.50920200348
11,-0.196194827982,0.00605007999157,-0.0738624012614,0.0016654640129,0.00528483759635,-2.9008797147e-05,0.999984647822,6.06816196442
12,-0.187266929966,0.00475746749357,-0.0663895541948,0.00182512884294,0.00812877037476,3.93595068255e-05,0.999965294622,6.57294392586
13,-0.178405769019,0.00375852300112,-0.0595280309848,0.00183617192221,0.00969823530971,5.999995155e-05,0.999951283366,7.08516097069
14,-0.169908084867,0.00300209954988,-0.0534253959383,0.0017672067707,0.0104143475225,5.90294755768e-05,0.999944205874,7.59885191917
15,-0.16203968412,0.00243495940194,-0.0481618087243,0.00166758276165,0.010627617057,5.12481821079e-05,0.999942133474,8.10617494583
16,-0.154149204114,0.00196625459278,-0.0432338669227,0.00155213107687,0.0105582888506,4.17058425075e-05,0.999943054222,8.62035894394
17,-0.14683217355,0.00160318436474,-0.0389604819093,0.00144077970381,0.0103267639524,3.31321635362e-05,0.999945639024,9.1269929409
18,-0.139512213298,0.00129847835736,-0.0349567145691,0.00132963060324,0.00998623459072,2.51514686918e-05,0.999949251997,9.64096093178
19,-0.132735800218,0.00105759583059,-0.0314816903084,0.00123083568576,0.00960986818603,1.91305544531e-05,0.999953066454,10.1461389065
20,-0.126218254131,0.000858429644991,-0.0283412181104,0.00114019481213,0.00920999073338,1.43515969084e-05,0.999956936983,10.6573319435
21,-0.119227953353,0.00067589267457,-0.0251851087749,0.00104803124641,0.00875285072651,1.01500304386e-05,0.999961143811,11.2172858715
22,-0.113020905465,0.000536925138525,-0.0225608306944,0.000970841629268,0.00833056662695,7.20067086402e-06,0.999964828919,11.7257590294
23,-0.107538277679,0.00043084967371,-0.0203783184754,0.000905883538729,0.00794829278737,5.05136425866e-06,0.999968001484,12.2273800373
24,-0.101855354421,0.000335247368389,-0.0182469456871,0.000841802582448,0.00754570388487,3.27681023538e-06,0.99997117644,12.7355749607
25,-0.0966388539664,0.000259250019683,-0.0164052489867,0.000785662468509,0.00717189777402,1.98540614771e-06,0.999973972968,13.239978075
26,-0.0914705628062,0.000194366348266,-0.0146867483949,0.000732227482748,0.00679833412473,9.71739738176e-07,0.999976622974,13.7466650009
27,-0.0867382451489,0.000143099477466,-0.013204287179,0.000685158614888,0.0064541748707,2.55564175211e-07,0.99997893687,14.2559390068
28,-0.0822274280937,0.00010074336666,-0.0118710001832,0.000641890540661,0.00612467641952,-2.63407985701e-07,0.999981037978,14.7600769997
29,-0.0777667545773,6.4789781595e-05,-0.0106280508429,0.000600432688173,0.00579760526401,-6.41960054781e-07,0.999983013482,15.2694759369
30,-0.0736890022751,3.66184317018e-05,-0.00955668684647,0.000563643869494,0.00549773622782,-8.92109645434e-07,0.999984728484,15.7822759151
31,-0.0696623619576,1.29852217161e-05,-0.00855888342857,0.000528220300784,0.00520086322679,-1.05501826536e-06,0.999986335909,16.2937688828
32,-0.0659876379469,-5.23343595363e-06,-0.00769991621189,0.000496634267949,0.00492935160187,-1.14463561274e-06,0.999987727348,16.8072600365
33,-0.0623610460053,-2.03136943536e-05,-0.00690007532714,0.000466110951033,0.00466091539664,-1.18657051729e-06,0.999989029243,17.32269907
34,-0.0590569300775,-3.16398561162e-05,-0.00621243348638,0.000438786812786,0.00441592872688,-1.18190548198e-06,0.999990153471,17.8325109482
35,-0.0557975010656,-4.08053260775e-05,-0.00557219328678,0.000412305636251,0.00417395464296,-1.15978509319e-06,0.999991204014,18.3497040272
36,-0.0527091247893,-4.77697200843e-05,-0.00500024561258,0.000387616674496,0.00394443368906,-1.12745568615e-06,0.999992145567,18.8546829224
