,base frame,end effector frame
0,arm_base_link,arm_7_link
,px,py,pz,qw,qx,qy,qz,time
0,-0.372758000037,0.183639918901,0.725564115655,0.77053714695,-0.127116754859,-0.623708654975,-0.0331865863442,41.9134049416
1,-0.372502578652,0.183856731313,0.725155008122,0.770564904379,-0.127079694693,-0.623685891907,-0.0331117437393,41.9134049416
2,-0.372384046106,0.183956637482,0.724966676729,0.770578025379,-0.127062256078,-0.623675078943,-0.03307696765,41.9134049416
3,-0.363838693264,0.180454574298,0.73995046646,0.796801510899,-0.124891716581,-0.58822937653,-0.0591237003701,41.9134049416
4,-0.354724653028,0.17603495926,0.755289071222,0.821491581576,-0.121908399267,-0.550400261099,-0.0857290859117,41.9134049416
5,-0.347138054107,0.16591818098,0.770771089615,0.844471167519,-0.121303364525,-0.513509076181,-0.0919911390494,41.9134049416
6,-0.340108571827,0.152733460066,0.785971568779,0.865782340763,-0.122484124739,-0.477928240132,-0.0836849741192,41.9134049416
7,-0.332671356754,0.139359813586,0.800555146569,0.884847698329,-0.122973878454,-0.443487170952,-0.072395477621,41.9134049416
8,-0.324619343478,0.126669605205,0.81445756752,0.901666535188,-0.121613164946,-0.41013300299,-0.0632346209886,41.9134049416
9,-0.316037203145,0.114609126584,0.827710476132,0.916445459577,-0.118385311452,-0.377996013131,-0.0568476183283,41.9134049416
10,-0.307047583553,0.102867622693,0.840363298622,0.929444226523,-0.113676908596,-0.347099499627,-0.0522774099799,41.9134049416
11,-0.2977341045,0.0911913976585,0.852450388393,0.940888689507,-0.10784436247,-0.317391060389,-0.0485899395667,41.9134049416
12,-0.288141703244,0.0794559783415,0.863987263518,0.950927992286,-0.101102160742,-0.288889029933,-0.0453589568378,41.9134049416
13,-0.27829823433,0.067572420654,0.874983283971,0.959704396052,-0.0935928336153,-0.261560272557,-0.042356552193,41.9134049416
14,-0.268221042464,0.0554828943412,0.885441906128,0.967337994123,-0.0854185909365,-0.235376401319,-0.039481883818,41.9134049416
15,-0.257920723616,0.0431519204104,0.895362364934,0.973926033175,-0.0766631023553,-0.210341231347,-0.0367071796268,41.9134049416
16,-0.247672433979,0.0311101708526,0.904606942068,0.979494603846,-0.0678353401863,-0.186646845984,-0.0339358592317,41.9134049416
17,-0.237944388662,0.0203171442165,0.913015613456,0.984064430227,-0.0597486570332,-0.1645726507,-0.0310344612705,41.9134049416
18,-0.228730724232,0.0107686997984,0.920708032184,0.987780103919,-0.0524359260465,-0.144059586486,-0.0280673387167,41.9134049416
19,-0.220297920768,0.00240619948435,0.927420488231,0.990670303088,-0.0459039828198,-0.125822514868,-0.0251767688996,41.9134049416
20,-0.213915244756,-0.0036291011148,0.932313874512,0.992544378788,-0.0410979300546,-0.112434258651,-0.0229162336195,41.9134049416
21,-0.206829656386,-0.010060656154,0.937559072881,0.994330630461,-0.0358757625952,-0.0980049460518,-0.0203606860286,41.9134049416
22,-0.200271180167,-0.0157584130636,0.942246559318,0.995725244858,-0.0311498757029,-0.0850754039575,-0.017974916881,41.9134049416
23,-0.193249049693,-0.0215452095176,0.947104381086,0.996959039077,-0.0262351910721,-0.0717379952388,-0.0154288428477,41.9134049416
24,-0.187801832083,-0.025736117381,0.950781017389,0.997740087481,-0.0225801122233,-0.0618284812922,-0.0134942678942,41.9134049416
25,-0.182888527653,-0.0292235695685,0.954048387688,0.998319410001,-0.0194507855686,-0.0532965895589,-0.0118108466116,41.9134049416
26,-0.178382883656,-0.032184751664,0.957003620324,0.998756450804,-0.0167159342261,-0.0458200060234,-0.0103274666508,41.9134049416
27,-0.174927462793,-0.0342748513136,0.959250793924,0.999034372795,-0.0147255244693,-0.040349312526,-0.00924196304804,41.9134049416
28,-0.171040811585,-0.0364619737885,0.961753138276,0.999294528792,-0.0125815821545,-0.0344528311912,-0.00807161321479,41.9134049416
29,-0.167394259831,-0.038357443102,0.96407676653,0.999492858022,-0.0106612423521,-0.0291720483345,-0.00702540176751,41.9134049416
30,-0.164000681736,-0.0399518109077,0.966226613966,0.999640346167,-0.00897740805281,-0.024520535124,-0.00610964957295,41.9134049416
31,-0.160848155734,-0.0412646429126,0.968218217204,0.999748319321,-0.00751810140901,-0.0204570158817,-0.00531852116434,41.9134049416
32,-0.157908682102,-0.0423344478924,0.970072324173,0.999826751249,-0.0062546834654,-0.0169069598161,-0.00463693132704,41.9134049416
33,-0.155144287694,-0.0432099924389,0.971812041499,0.99988365645,-0.00514889384776,-0.0137769814667,-0.00404440820745,41.9134049416
34,-0.152545146958,-0.0439070331774,0.973446643288,0.999924076429,-0.00418989075088,-0.011036116563,-0.00353416539822,41.9134049416
35,-0.150092648578,-0.0444502013212,0.974988397677,0.999952277587,-0.00335874231901,-0.00863599465126,-0.00309531839793,41.9134049416
