,base frame,end effector frame,,,,,,
0,base_link,gripper,,,,,,
,x,y,z,qw,qx,qy,qz,time
50,-0.3143229218,0.2016095229,0.7024060619,-0.1259841886,-0.6207142081,-0.0275366894,0.7733586405,10.731180191
51,-0.3143308797,0.2016374063,0.7023917325,-0.1260252276,-0.6207238855,-0.0275272369,0.773344523,11.2325861454
52,-0.3143388383,0.2016652959,0.7023774011,-0.1260662775,-0.6207335606,-0.0275177861,0.7733304028,11.7326021194
53,-0.3143479342,0.2016971721,0.7023610189,-0.1261131964,-0.6207446176,-0.0275069849,0.7733142616,12.2338540554
54,-0.3143558934,0.2017250659,0.7023466813,-0.1261542545,-0.6207542923,-0.0274975336,0.7733001347,12.7351841927
55,-0.3143638534,0.2017529659,0.7023323418,-0.1261953236,-0.6207639647,-0.0274880839,0.7732860051,13.2362060547
56,-0.3143718129,0.2017808593,0.7023179972,-0.1262363817,-0.620773641,-0.0274786303,0.7732718717,13.7364890575
57,-0.3143809107,0.201812749,0.7023016021,-0.1262833256,-0.6207846949,-0.0274678299,0.7732557161,14.237650156
58,-0.3143888709,0.2018406465,0.7022872512,-0.1263243917,-0.6207943707,-0.0274583757,0.7732415761,14.7376670837
59,-0.3143979695,0.201872541,0.7022708489,-0.1263713447,-0.6208054242,-0.0274475747,0.7732254129,15.2388551235
60,-0.3144059304,0.2019004426,0.7022564917,-0.1264124188,-0.6208150995,-0.0274381201,0.7732112662,0.5080721378
61,-0.3144138921,0.2019283505,0.7022421326,-0.126453504,-0.6208247725,-0.0274286671,0.7731971168,1.0230200291
62,-0.3144229918,0.201960252,0.7022257197,-0.1265004704,-0.6208358252,-0.0274178652,0.7731809425,1.5391201973
63,-0.3144309537,0.2019881597,0.7022113533,-0.1265415562,-0.6208454998,-0.0274084098,0.773166786,2.0478200913
64,-0.3144389167,0.2020160781,0.702196986,-0.1265826605,-0.6208551702,-0.027398958,0.7731526271,2.5628550053
65,-0.3144480169,0.2020479778,0.7021805604,-0.1266296256,-0.620866226,-0.0273881515,0.773136441,3.1266560555
66,-0.3144559806,0.2020759004,0.7021661868,-0.1266707378,-0.6208758959,-0.0273786992,0.7731222755,3.6434221268
67,-0.3144639439,0.2021038161,0.7021518081,-0.126711839,-0.6208855697,-0.0273692428,0.7731081061,4.1580240727
68,-0.3144719078,0.2021317381,0.7021374276,-0.1267529514,-0.6208952411,-0.0273597881,0.7730939341,4.6694941521
69,-0.3144810103,0.2021636558,0.7021209901,-0.1267999488,-0.6209062919,-0.0273489843,0.7730777339,5.185819149
70,-0.3144889745,0.2021915776,0.7021066022,-0.1268410618,-0.620915965,-0.0273395272,0.7730635548,5.6998591423
71,-0.3144969399,0.2022195101,0.7020922134,-0.1268821932,-0.6209256337,-0.0273300737,0.7730493733,6.2175011635
72,-0.3145060427,0.202251426,0.7020757632,-0.1269291893,-0.6209366878,-0.0273192653,0.7730331613,6.7186291218
73,-0.3145140088,0.2022793626,0.7020613681,-0.1269703287,-0.6209463561,-0.0273098112,0.7730189731,7.2188651562
74,-0.3145219744,0.2023072925,0.7020469679,-0.1270114571,-0.6209560282,-0.0273003532,0.7730047811,7.7197110653
75,-0.3145310791,0.202339224,0.7020305093,-0.1270584814,-0.6209670774,-0.0272895478,0.7729885586,8.219974041
76,-0.3145390458,0.2023671624,0.7020161038,-0.1270996251,-0.620976747,-0.0272800911,0.7729743602,8.7216050625
77,-0.3145470124,0.2023950983,0.7020016943,-0.1271407652,-0.6209864184,-0.0272706323,0.7729601584,9.2285120487
78,-0.3145549801,0.2024230449,0.7019872841,-0.1271819238,-0.6209960856,-0.0272611771,0.7729459542,9.7297041416
79,-0.3145640857,0.202454977,0.7019708092,-0.1272289509,-0.6210071378,-0.0272503668,0.7729297163,10.2306780815
80,-0.314572054,0.2024829277,0.7019563926,-0.1272701175,-0.6210168045,-0.027240911,0.7729155054,10.731180191
81,-0.314580022,0.2025108717,0.7019419709,-0.127311273,-0.621026475,-0.0272314513,0.7729012907,11.2325861454
82,-0.3145879906,0.202538822,0.7019275473,-0.1273524397,-0.6210361432,-0.0272219932,0.7728870732,11.7326021194
83,-0.3145970984,0.2025707718,0.7019110606,-0.1273994992,-0.6210471904,-0.0272111856,0.7728708212,12.2338540554
84,-0.3146050674,0.2025987219,0.7018966296,-0.1274406665,-0.6210568602,-0.0272017251,0.7728565967,12.7351841927
85,-0.3146130374,0.2026266826,0.7018821978,-0.1274818522,-0.6210665257,-0.0271922682,0.7728423698,13.2362060547
86,-0.314621007,0.2026546366,0.7018677608,-0.1275230269,-0.6210761951,-0.0271828073,0.7728281391,13.7364890575
87,-0.3146301163,0.2026865956,0.7018512601,-0.1275701041,-0.6210872412,-0.0271719985,0.7728118723,14.237650156
88,-0.3146380866,0.2027145537,0.7018368168,-0.1276112868,-0.62109691,-0.0271625371,0.7727976348,14.7376670837
89,-0.3146460576,0.2027425181,0.7018223716,-0.1276524806,-0.6211065767,-0.0271530773,0.7727833946,15.2388551235
90,-0.3146551681,0.2027744841,0.7018058603,-0.1276995712,-0.621117622,-0.0271422678,0.7727671166,0.5080721378
91,-0.3146631394,0.2028024483,0.7017914077,-0.1277407656,-0.6211272901,-0.0271328056,0.7727528694,1.0230200291
92,-0.3146711118,0.2028304231,0.7017769543,-0.1277819785,-0.621136954,-0.027123347,0.7727386197,1.5391201973
93,-0.3146802226,0.2028623874,0.7017604301,-0.1278290677,-0.6211480026,-0.0271125329,0.7727223298,2.0478200913
94,-0.3146881957,0.2028903664,0.7017459703,-0.1278702886,-0.621157666,-0.0271030738,0.7727080734,2.5628550053
95,-0.3146961683,0.2029183385,0.7017315054,-0.1279114984,-0.6211673333,-0.0270936107,0.7726938132,3.1266560555
96,-0.3147041416,0.202946317,0.7017170386,-0.1279527194,-0.6211769983,-0.0270841492,0.7726795502,3.6434221268
97,-0.3147121157,0.2029743018,0.70170257,-0.1279939514,-0.621186661,-0.0270746894,0.7726652844,4.1580240727
98,-0.3147212284,0.2030062774,0.7016860284,-0.1280410625,-0.6211977082,-0.0270638739,0.7726489761,4.6694941521
99,-0.3147292031,0.2030342664,0.7016715533,-0.1280823026,-0.6212073705,-0.0270544136,0.7726347037,5.185819149
100,-0.3147371774,0.2030622485,0.7016570732,-0.1281235317,-0.6212170366,-0.0270449494,0.7726204274,5.6998591423
101,-0.3147451524,0.2030902369,0.7016425911,-0.1281647717,-0.6212267005,-0.0270354867,0.7726061483,6.2175011635
102,-0.314753128,0.2031182317,0.7016281071,-0.128206023,-0.6212363621,-0.0270260258,0.7725918664,6.7186291218
103,-0.3147622427,0.2031502187,0.7016115481,-0.128253156,-0.621247408,-0.0270152089,0.7725755397,7.2188651562
104,-0.314770219,0.2031782176,0.7015970578,-0.1282944152,-0.6212570691,-0.0270057474,0.7725612511,7.7197110653
105,-0.3147781949,0.2032062097,0.7015825623,-0.1283356634,-0.621266734,-0.026996282,0.7725469587,8.219974041
106,-0.3147861719,0.2032342125,0.7015680661,-0.1283769302,-0.6212763947,-0.0269868201,0.7725326639,8.7216050625
107,-0.314795288,0.2032662086,0.7015514929,-0.1284240808,-0.6212874395,-0.0269760021,0.7725163223,9.2285120487
108,-0.3148032653,0.2032942111,0.7015369892,-0.128465348,-0.6212971018,-0.0269665378,0.7725020204,9.7297041416
109,-0.3148123826,0.2033262163,0.7015204099,-0.1285125152,-0.621308144,-0.0269557212,0.7724856715,10.2306780815
110,-0.3148203606,0.203354223,0.7015058998,-0.1285537905,-0.6213178058,-0.0269462564,0.7724713629,10.731180191
111,-0.3148294791,0.2033862374,0.7014893143,-0.1286009742,-0.6213288454,-0.0269354412,0.7724550067,11.2325861454
112,-0.3148374574,0.2034142438,0.7014747967,-0.1286422501,-0.6213385087,-0.026925974,0.7724406909,11.7326021194
113,-0.3148454367,0.2034422609,0.7014602783,-0.1286835444,-0.6213481677,-0.0269165104,0.7724263728,12.2338540554
114,-0.3148545556,0.2034742735,0.7014436799,-0.1287307267,-0.6213592106,-0.0269056905,0.7724100046,12.7351841927
115,-0.3148625356,0.2035022948,0.7014291552,-0.1287720291,-0.6213688691,-0.0268962264,0.7723956797,13.2362060547
116,-0.3148705152,0.2035303092,0.7014146253,-0.1288133204,-0.6213785315,-0.0268867583,0.772381351,13.7364890575
117,-0.314879636,0.2035623375,0.7013980183,-0.1288605309,-0.6213895695,-0.0268759414,0.7723649722,14.237650156
118,-0.3148876166,0.2035903604,0.7013834831,-0.1289018376,-0.6213992293,-0.0268664747,0.7723506371,14.7376670837
119,-0.3148955972,0.203618381,0.7013689439,-0.1289431406,-0.621408891,-0.0268570059,0.7723362985,15.2388551235
120,-0.3149047191,0.2036504162,0.7013523262,-0.1289903645,-0.6214199282,-0.0268461881,0.7723199084,0.5080721378
121,-0.3149127004,0.2036784408,0.7013377806,-0.1290316755,-0.6214295893,-0.0268367188,0.7723055631,1.0230200291
122,-0.3149218231,0.2037104808,0.7013211556,-0.1290789085,-0.621440626,-0.0268259005,0.7722891653,1.5391201973
123,-0.3149298051,0.2037385096,0.7013066036,-0.1291202275,-0.6214502867,-0.0268164307,0.7722748132,2.0478200913
124,-0.3149377881,0.2037665491,0.7012920507,-0.129161565,-0.621459943,-0.0268069645,0.7722604587,2.5628550053
125,-0.3149469112,0.2037985872,0.7012754129,-0.1292087966,-0.6214709829,-0.0267961416,0.7722440489,3.1266560555
126,-0.3149548949,0.2038266308,0.7012608536,-0.1292501421,-0.6214806388,-0.0267866749,0.7722296876,3.6434221268
127,-0.3149640187,0.2038586737,0.7012442085,-0.1292973828,-0.6214916782,-0.0267758514,0.7722132701,4.1580240727
128,-0.3149731437,0.2038907278,0.7012275616,-0.1293446432,-0.6215027132,-0.0267650315,0.7721968492,4.6694941521
129,-0.3149811278,0.203918769,0.7012129903,-0.1293859861,-0.6215123724,-0.0267555602,0.7721824769,5.185819149
130,-0.3149891125,0.2039468165,0.7011984172,-0.1294273402,-0.6215220293,-0.0267460906,0.7721681017,5.6998591423
131,-0.3149982383,0.2039788729,0.7011817584,-0.129474606,-0.6215330658,-0.0267352685,0.772151669,6.2175011635
132,-0.3150062236,0.2040069249,0.7011671789,-0.1295159686,-0.6215427219,-0.0267257979,0.7721372873,6.7186291218
133,-0.3150142097,0.2040349829,0.7011525975,-0.1295573418,-0.6215523761,-0.0267163295,0.7721229026,7.2188651562
134,-0.3150221954,0.2040630341,0.7011380108,-0.129598704,-0.6215620341,-0.0267068571,0.772108514,7.7197110653
135,-0.315031323,0.2040951043,0.7011213391,-0.1296459954,-0.6215730672,-0.0266960352,0.7720920669,8.219974041
136,-0.3150393093,0.2041231596,0.701106746,-0.1296873655,-0.6215827247,-0.0266865624,0.7720776716,8.7216050625
137,-0.3150484378,0.2041552345,0.7010900669,-0.129734666,-0.6215937573,-0.02667574,0.7720612167,9.2285120487
138,-0.3150564248,0.2041832936,0.7010754674,-0.1297760435,-0.6216034146,-0.0266662671,0.7720468145,9.7297041416
139,-0.315065554,0.2042153736,0.701058781,-0.1298233538,-0.6216144462,-0.0266554436,0.772030352,10.2306780815
140,-0.315073542,0.2042434415,0.7010441763,-0.1298647472,-0.6216241008,-0.0266459717,0.7720159435,10.731180191
141,-0.3150815301,0.204271507,0.7010295674,-0.129906137,-0.6216337571,-0.0266364976,0.7720015315,11.2325861454
142,-0.3150895191,0.2042995832,0.7010149577,-0.1299475454,-0.6216434091,-0.026627027,0.771987117,11.7326021194
143,-0.3150986491,0.2043316633,0.7009982549,-0.1299948579,-0.621654444,-0.0266161993,0.7719706387,12.2338540554
144,-0.3151066388,0.2043597436,0.7009836388,-0.1300362743,-0.6216640955,-0.0266067282,0.7719562175,12.7351841927
145,-0.3151146282,0.2043878167,0.7009690174,-0.1300776789,-0.6216737512,-0.0265972538,0.7719417923,13.2362060547
146,-0.31512376,0.2044199128,0.7009523062,-0.1301250202,-0.6216847809,-0.0265864284,0.7719253034,13.7364890575
147,-0.3151317503,0.2044479948,0.7009376795,-0.1301664408,-0.6216944338,-0.0265769548,0.7719108719,14.237650156
148,-0.3151408826,0.2044800915,0.7009209599,-0.1302137843,-0.621705465,-0.0265661276,0.7718943749,14.7376670837
149,-0.3151488736,0.204508177,0.7009063267,-0.1302552119,-0.6217151176,-0.0265566534,0.7718799366,15.2388551235
150,-0.3151568646,0.2045362607,0.7008916896,-0.1302966368,-0.6217247718,-0.0265471772,0.7718654947,1.5080721378
151,-0.3151648567,0.2045643551,0.7008770516,-0.1303380803,-0.6217344216,-0.0265377046,0.7718510504,2.0230200291
152,-0.31517399,0.2045964559,0.7008603165,-0.130385433,-0.6217454541,-0.0265268744,0.7718345381,2.5391201973
153,-0.3151819827,0.2046245545,0.7008456721,-0.1304268845,-0.6217551034,-0.0265174013,0.771820087,3.0478200913
154,-0.3151899754,0.2046526505,0.7008310236,-0.1304683323,-0.6217647545,-0.026507926,0.7718056324,3.5628550053
155,-0.315197968,0.2046807441,0.700816371,-0.1305097764,-0.6217744075,-0.0264984486,0.7717911743,4.1266560555
156,-0.3152071036,0.2047128628,0.7007996239,-0.1305571615,-0.6217854347,-0.0264876212,0.7717746476,4.6434221268
157,-0.3152150969,0.2047409606,0.7007849649,-0.1305986136,-0.6217950872,-0.0264781433,0.7717601827,5.1580240727
158,-0.3152242333,0.204773084,0.7007682104,-0.1306460079,-0.6218061139,-0.0264673153,0.7717436482,5.6694941521
159,-0.3152322273,0.2048011859,0.7007535449,-0.130687468,-0.6218157659,-0.026457837,0.7717291765,6.185819149
160,-0.3152402223,0.2048292985,0.7007388786,-0.1307289466,-0.6218254135,-0.0264483622,0.7717147023,6.6998591423
161,-0.3152493591,0.2048614201,0.7007221111,-0.1307763394,-0.6218364435,-0.0264375296,0.7716981558,7.2175011635
162,-0.3152573548,0.2048895374,0.7007074386,-0.1308178271,-0.6218460903,-0.0264280544,0.7716836749,7.7186291218
163,-0.3152653504,0.204917651,0.7006927616,-0.130859309,-0.6218557395,-0.026418577,0.7716691903,8.2188651562
164,-0.315273346,0.2049457628,0.7006780807,-0.1309007882,-0.6218653903,-0.0264090976,0.7716547023,8.7197110653
165,-0.315282485,0.2049779023,0.7006613011,-0.1309482135,-0.6218764151,-0.0263982677,0.7716381414,9.219974041
166,-0.3152904812,0.2050060182,0.7006466137,-0.1309897008,-0.6218860653,-0.0263887877,0.7716236466,9.7216050625
167,-0.3152984786,0.2050341448,0.7006319255,-0.1310312066,-0.6218957112,-0.0263793114,0.7716091492,10.2285120487
168,-0.3153076179,0.2050662824,0.700615133,-0.1310786304,-0.6219067393,-0.0263684769,0.7715925762,10.7297041416
169,-0.315315616,0.2050944138,0.7006004385,-0.1311201452,-0.6219163844,-0.0263590001,0.7715780722,11.2306780815
170,-0.3153247561,0.2051265556,0.7005836384,-0.1311675772,-0.6219274121,-0.026348165,0.7715614913,11.731180191
171,-0.3153327544,0.205154686,0.7005689362,-0.1312090915,-0.6219370591,-0.0263386858,0.77154698,12.2325861454
172,-0.3153407534,0.2051828228,0.700554232,-0.131250617,-0.6219467038,-0.0263292083,0.7715324659,12.7326021194
173,-0.3153498947,0.2052149721,0.7005374213,-0.1312980634,-0.6219577304,-0.0263183724,0.7715158737,13.2338540554
174,-0.3153578943,0.205243113,0.7005227107,-0.1313395969,-0.6219673746,-0.0263088944,0.7715013528,13.7351841927
175,-0.3153658935,0.2052712471,0.7005079949,-0.1313811193,-0.6219770227,-0.0262994124,0.7714868279,0.5080721378
176,-0.3153750367,0.2053034121,0.7004911755,-0.1314285939,-0.6219880443,-0.0262885796,0.771470225,1.0230200291
177,-0.3153830366,0.2053315503,0.7004764532,-0.1314701242,-0.6219976919,-0.0262790971,0.7714556934,1.5391201973
178,-0.3153910372,0.2053596948,0.700461729,-0.1315116657,-0.6220073371,-0.0262696162,0.7714411589,2.0478200913
179,-0.3154001811,0.2053918626,0.7004448978,-0.1315591469,-0.6220183598,-0.0262587807,0.7714245442,2.5628550053
180,-0.3154081823,0.2054200109,0.700430167,-0.1316006958,-0.6220280048,-0.0262492994,0.7714100028,3.1266560555
181,-0.3154173274,0.2054521875,0.7004133294,-0.1316481929,-0.622039025,-0.0262384653,0.7713933806,3.6434221268
182,-0.3154253289,0.2054803359,0.7003985912,-0.1316897429,-0.6220486713,-0.0262289816,0.7713788321,4.1580240727
183,-0.3154333315,0.205508495,0.7003838521,-0.1317313116,-0.6220583132,-0.0262195015,0.7713642811,4.6694941521
184,-0.315442477,0.2055406697,0.7003670015,-0.1317788072,-0.6220693368,-0.0262086627,0.7713476468,5.185819149
185,-0.3154516236,0.2055728558,0.700350149,-0.1318263226,-0.6220803558,-0.0261978275,0.771331009,5.6998591423
186,-0.3154596265,0.2056010124,0.7003353978,-0.1318678886,-0.6220900011,-0.0261883429,0.7713164468,6.2175011635
187,-0.3154676304,0.2056291798,0.7003206458,-0.1319094733,-0.6220996421,-0.0261788618,0.7713018821,6.7186291218
188,-0.3154756343,0.2056573446,0.7003058897,-0.1319510541,-0.6221092848,-0.0261693787,0.7712873139,7.2188651562
189,-0.315484782,0.2056895355,0.7002890219,-0.1319985799,-0.6221203048,-0.0261585405,0.7712706607,7.7197110653
190,-0.3154927866,0.2057177043,0.7002742592,-0.1320401686,-0.6221299471,-0.0261490569,0.7712560856,8.219974041
191,-0.3155019347,0.2057498954,0.7002573829,-0.1320876959,-0.6221409686,-0.0261382162,0.7712394242,8.7216050625
192,-0.3155099403,0.2057780729,0.7002426149,-0.1321293002,-0.6221506083,-0.026128734,0.7712248426,9.2285120487
193,-0.3155179455,0.2058062436,0.7002278417,-0.1321708934,-0.6221602519,-0.0261192478,0.7712102572,9.7297041416
194,-0.3155259517,0.2058344249,0.7002130676,-0.1322125052,-0.6221698911,-0.0261097652,0.7711956693,10.2306780815
195,-0.3155351013,0.2058666251,0.7001961769,-0.1322600501,-0.6221809115,-0.0260989235,0.7711789927,10.731180191
196,-0.315544252,0.2058988366,0.7001792845,-0.1323076148,-0.6221919274,-0.0260880854,0.7711623126,11.2325861454
197,-0.3155522585,0.2059270155,0.7001644983,-0.1323492239,-0.6222015699,-0.0260785982,0.7711477135,11.7326021194
198,-0.31556141,0.2059592317,0.7001475984,-0.1323967977,-0.6222125853,-0.0260677595,0.7711310256,12.2338540554
199,-0.3155694172,0.2059874146,0.7001328057,-0.1324384148,-0.6222222273,-0.0260582719,0.7711164196,12.7351841927
200,-0.3155774251,0.206015604,0.7001180111,-0.1324800431,-0.6222318671,-0.0260487859,0.7711018107,13.2362060547
201,-0.3155865777,0.2060478271,0.7001011003,-0.1325276303,-0.6222428816,-0.0260379465,0.7710851113,13.7364890575
202,-0.3155957303,0.2060800483,0.7000841845,-0.1325752149,-0.6222538978,-0.0260271049,0.7710684074,14.237650156
203,-0.3156037392,0.206108244,0.7000693799,-0.1326168554,-0.6222635368,-0.0260176182,0.771053788,14.7376670837
204,-0.3156128922,0.2061404655,0.7000524556,-0.1326644417,-0.6222745545,-0.0260067741,0.7710370759,15.2388551235
205,-0.3156220461,0.2061726939,0.7000355283,-0.1327120403,-0.6222855698,-0.0259959316,0.7710203599,15.2388551235
206,-0.315630056,0.2062008959,0.7000207138,-0.1327536931,-0.622295208,-0.0259864442,0.77100573,0.5080721378
207,-0.3156380666,0.2062291042,0.7000058973,-0.1327953571,-0.6223048439,-0.0259769585,0.7709910973,1.0230200291
208,-0.3156472211,0.2062613351,0.699988958,-0.1328429616,-0.6223158604,-0.0259661134,0.7709743695,1.5391201973
209,-0.3156552324,0.2062895475,0.699974135,-0.1328846335,-0.6223254958,-0.0259566272,0.7709597298,2.0478200913
210,-0.3156643877,0.2063217831,0.6999571884,-0.1329322472,-0.6223365118,-0.0259457815,0.7709429941,2.5628550053
211,-0.3156723997,0.2063499997,0.6999423588,-0.1329739271,-0.6223461466,-0.0259362949,0.7709283476,3.1266560555
212,-0.3156815558,0.20638224,0.6999254048,-0.1330215499,-0.622357162,-0.0259254487,0.7709116041,3.6434221268
213,-0.315690713,0.2064144917,0.6999084489,-0.1330691925,-0.6223681729,-0.025914606,0.770894857,4.1580240727
214,-0.3156987252,0.2064427057,0.6998936072,-0.1331108698,-0.6223778111,-0.0259051148,0.7708801993,4.6694941521
215,-0.3157078832,0.2064749621,0.6998766438,-0.1331585215,-0.6223888214,-0.0258942716,0.7708634444,5.185819149
216,-0.3157158961,0.2065031802,0.6998617956,-0.1332002067,-0.6223984591,-0.02588478,0.7708487797,5.6998591423
217,-0.31572391,0.2065314097,0.6998469467,-0.1332419116,-0.622408092,-0.025875292,0.7708341126,6.2175011635
218,-0.3157330684,0.2065636635,0.6998299701,-0.1332895608,-0.622419106,-0.0258644441,0.7708173454,6.7186291218
219,-0.3157410826,0.206591892,0.6998151134,-0.1333312651,-0.6224287408,-0.0258549537,0.770802671,7.2188651562
220,-0.3157490975,0.206620127,0.6998002547,-0.1333729808,-0.6224383733,-0.025845465,0.7707879938,7.7197110653
221,-0.315758257,0.2066523883,0.6997832674,-0.1334206443,-0.6224493861,-0.0258346164,0.7707712151,8.219974041
222,-0.3157662726,0.2066806274,0.6997684022,-0.1334623679,-0.6224590181,-0.0258251273,0.7707565309,8.7216050625
223,-0.3157742877,0.2067088595,0.6997535318,-0.1335040803,-0.622468654,-0.0258156341,0.7707418429,9.2285120487
224,-0.3157834491,0.2067411365,0.6997365357,-0.1335517722,-0.6224796617,-0.0258047885,0.7707250533,9.7297041416
225,-0.3157937553,0.2067774418,0.6997174079,-0.1336054154,-0.6224920495,-0.0257925829,0.7707061593,10.2306780815
226,-0.3158017722,0.2068056894,0.6997025293,-0.1336471555,-0.6225016804,-0.0257830927,0.7706914609,10.731180191
