,base frame,end effector frame
0,arm_base_link,arm_7_link
,px,py,pz,qx,qy,qz,qw,time
0,-0.0654697484053,0.441023952688,-0.339435895632,-0.712760411176,0.0107695007066,-0.0098405953231,0.701220918683,0.149452924728
1,-0.0405379341845,0.439429231598,-0.290062155268,-0.690582955358,0.00260512008854,-0.00569682827802,0.723192188333,0.654033899307
2,-0.0155073463338,0.430461008482,-0.221230374133,-0.659109260224,-0.0008111547944,-0.00218102225474,0.752011016048,1.15730404854
3,-0.0016486976568,0.414239977653,-0.150998209385,-0.623235237119,-0.00169203807892,0.00349826247333,0.781993438834,1.65875601768
4,0.00606009005675,0.390332093124,-0.0792587448767,-0.582161709506,-0.0038714022287,0.00948311135312,0.812978367995,2.16066098213
5,0.0118074550364,0.358366105138,-0.00817491858651,-0.536539492003,-0.00756283330647,0.0139669191253,0.843696688534,2.66558003426
6,0.0187655722892,0.318284545847,0.0600544640086,-0.486942586247,-0.0125617952237,0.0166482041414,0.873156890999,3.16829705238
7,0.0294078841446,0.27010847622,0.123740389373,-0.43315009299,-0.0185238691605,0.0174993279335,0.900934313219,3.66880702972
8,0.0448767765673,0.213824905018,0.181631166248,-0.374297858703,-0.0247759415501,0.0161639017751,0.926810117537,4.1710729599
9,0.0651251324787,0.149607910011,0.232473919006,-0.309814063947,-0.0301529726018,0.0118336845827,0.950219452512,4.67439603806
10,0.0884345052891,0.0789439195475,0.274603402294,-0.241002423459,-0.0334882053157,0.00408913935777,0.969912702737,5.17691707611
11,0.109209847132,0.0218190622621,0.298833453869,-0.181897028546,-0.0350277281034,-0.000531687343598,0.982668431659,5.68330693245
12,0.124775933425,-0.011487376425,0.307491083041,-0.140259882399,-0.0354186027607,-0.00133810109359,0.989455353946,6.18567991257
13,0.136819934301,-0.0287515543975,0.308118583108,-0.109704497113,-0.0351307836276,-0.000811984504391,0.993318222946,6.69375300407
14,0.145891472301,-0.0349645586041,0.304208187011,-0.0869049224827,-0.0343362310639,-5.70141816241e-06,0.995600099263,7.19533085823
15,0.152210670195,-0.033469153423,0.29750429108,-0.0698322062022,-0.0332286033627,0.000775883690357,0.996980301159,7.6984269619
16,0.156260735632,-0.0268005071466,0.288735286193,-0.05624651104,-0.0318278393831,0.00140462369152,0.997883933966,8.20621490479
17,0.15794950328,-0.0173387232919,0.279196193647,-0.0461433511641,-0.0303793196604,0.00184045440897,0.998446543791,8.71006703377
18,0.157847395269,-0.00636062379312,0.268998210761,-0.0380445952789,-0.0288356260665,0.00211470029939,0.998833140961,9.21324706078
19,0.156158933592,0.00525287868794,0.258417893438,-0.0315083279106,-0.0272994605932,0.00227473816631,0.999103493283,9.71577000618
20,0.153204933387,0.0168032796599,0.247664840665,-0.0261049632437,-0.0257612242697,0.00233902923826,0.999299964555,10.2228300571
21,0.149039084861,0.0282801585889,0.236471452854,-0.0214323466054,-0.024204018356,0.00233617930153,0.999450029907,10.7276308537
22,0.144238773774,0.0385044964544,0.225815111938,-0.0176369734754,-0.0227426075275,0.00228255279603,0.999558653068,11.2344398499
23,0.138854270379,0.0477615911464,0.215357213485,-0.0144015246785,-0.0213379380659,0.00219661987807,0.999641667472,11.7379319668
24,0.133062219764,0.0559643440658,0.205162800688,-0.0116246932604,-0.0199946019766,0.0020894925038,0.999705814937,12.2430310249
25,0.12700817609,0.063082686174,0.195280721984,-0.00923447808256,-0.0187203504083,0.00197079996274,0.999755664571,12.7457129955
26,0.12082119583,0.0691336842433,0.185736506876,-0.00716509037676,-0.0175065046735,0.00184368234339,0.999794871266,13.2494599819
27,0.114348865447,0.0743376560687,0.176191843832,-0.00530619983805,-0.016312088137,0.00170897401001,0.999826904735,13.7538888454
