,base frame,end effector frame,,,,,,
24,-0.0868343591,0.0526405427,0.1278624665,-0.0045397605,-0.0088736539,0.0014278619,0.9998952995,12.5830368996
25,-0.0861039585,0.0512791359,0.1194258655,-0.0042178365,-0.0083861273,0.0013099165,0.9999010785,13.0840940475
26,-0.0852556957,0.0505524717,0.1139438762,-0.0043285145,-0.0088041571,0.0007640835,0.9998975782,13.585119009
27,-0.0842548208,0.0502612841,0.1104719399,-0.0047596401,-0.0098263008,1.9513418699E-005,0.9998863882,14.0850229263
28,-0.0832416989,0.0500333428,0.1073306595,-0.005162274,-0.0106246993,-0.0004451895,0.9998761266,14.5860540867
29,-0.0821855933,0.0498734286,0.1045202419,-0.0055444184,-0.0112806019,-0.0007579228,0.9998667076,15.0864610672
30,-0.0810888373,0.0497722431,0.1019860446,-0.0059067774,-0.0118474967,-0.00100321,0.9998578601,15.5888578892
31,-0.0799436527,0.0497271786,0.0997184227,-0.0062530644,-0.0123537933,-0.0012133483,0.999849394,16.0898869038
32,-0.0788018887,0.0497302259,0.0977644944,-0.0065731888,-0.0127998235,-0.0013958664,0.9998414921,16.5900158882
33,-0.0775086626,0.0497840258,0.095893093,-0.0069135558,-0.0132601154,-0.0015857998,0.9998329147,17.0913870335
34,-0.0762154001,0.0498789714,0.0943032255,-0.0072382438,-0.0136906961,-0.0017635673,0.9998245159,17.5922899246
35,-0.0748774307,0.0500123736,0.0929103888,-0.0075565034,-0.0141005539,-0.0019297431,0.999816158,18.0924479961
36,-0.0735035005,0.0501783274,0.0916905631,-0.0078655902,-0.0144852634,-0.0020814667,0.9998079701,18.5938968658
37,-0.0720973204,0.0503732412,0.0906281858,-0.0081653704,-0.0148462833,-0.0022202824,0.9997999725,19.0949020386
38,-0.0706572261,0.0505956596,0.0897138075,-0.0084597332,-0.0151934635,-0.0023527366,0.9997920065,19.5964119434
39,-0.0691929838,0.0508404932,0.0889256471,-0.0087445025,-0.0155183788,-0.0024729872,0.9997842757,20.0963079929
40,-0.0677066057,0.0511058239,0.0882567879,-0.009019007,-0.0158198604,-0.0025812735,0.9997768384,20.5979449749
41,-0.0662020639,0.0513890427,0.0876951961,-0.0092825765,-0.0160978027,-0.0026787642,0.9997697329,21.0986330509
42,-0.0646256452,0.0516986115,0.0872052543,-0.0095432905,-0.0163595476,-0.0027669476,0.9997627893,21.6015889645
43,-0.0631021672,0.0520087535,0.0868182639,-0.0097797674,-0.0165826787,-0.0028393607,0.9997566249,22.1033270359
44,-0.0615745339,0.0523287917,0.0864984002,-0.0100041492,-0.0167836665,-0.0029029117,0.9997508683,22.604624033
45,-0.0600447657,0.0526574103,0.086239481,-0.010217114,-0.0169642479,-0.0029591257,0.9997455018,23.1067419052
46,-0.058519489,0.0529918753,0.0860319799,-0.0104157393,-0.0171182244,-0.0030045529,0.9997406921,23.6060729027
47,-0.0569997957,0.0533308591,0.0858643388,-0.0106030407,-0.0172534808,-0.0030427854,0.9997362824,24.1069879532
48,-0.0554872981,0.0536735465,0.0857343665,-0.0107798441,-0.017371684,-0.0030762501,0.9997322423,24.6097168922
49,-0.0539862524,0.0540179051,0.0856316701,-0.010945269,-0.0174711401,-0.0031023484,0.9997286311,25.1107208729
50,-0.0524985016,0.0543630159,0.0855527313,-0.0111002693,-0.0175540176,-0.0031231651,0.9997254055,25.6114680767
51,-0.0510234056,0.0547086321,0.0854937182,-0.0112476836,-0.0176265445,-0.0031418989,0.999722423,26.112156868
52,-0.0495642482,0.0550533147,0.085448363,-0.0113863023,-0.0176859013,-0.0031555899,0.9997197624,26.6128559113
53,-0.0481235114,0.0553960719,0.0854138037,-0.0115162496,-0.0177321237,-0.0031649616,0.9997174255,27.1133320332
54,-0.0466999525,0.0557368824,0.0853865701,-0.0116396093,-0.0177700527,-0.0031719774,0.9997153011,27.6152429581
55,-0.0452951932,0.056075091,0.085365177,-0.0117569993,-0.0178004543,-0.0031774684,0.9997133692,28.114563942
56,-0.0439108207,0.056410003,0.0853471593,-0.0118685315,-0.0178232449,-0.0031810037,0.999711634,28.6170098782
57,-0.0425468867,0.0567413603,0.0853304106,-0.0119748985,-0.0178398035,-0.0031827663,0.9997100646,29.120153904
58,-0.04120274,0.0570691582,0.0853135303,-0.0120770737,-0.0178522671,-0.0031834128,0.9997086109,29.621119976
59,-0.0399330569,0.0573797775,0.0852960943,-0.0121710982,-0.0178594531,-0.0031827859,0.9997073443,30.1228430271
60,-0.0385793299,0.0577119306,0.0852747331,-0.0122692889,-0.0178638484,-0.0031812845,0.9997060703,30.6233129501
61,-0.0373003169,0.0580265802,0.0852512681,-0.0123606382,-0.0178653277,-0.0031796532,0.9997049237,31.1237668991
62,-0.0360923169,0.0583244309,0.0852251338,-0.0124455744,-0.0178645479,-0.0031771818,0.9997038917,31.6246159077
63,-0.0348057463,0.0586422945,0.0851921813,-0.0125346269,-0.0178613005,-0.0031735006,0.9997028488,32.1257359982
64,-0.0335908534,0.0589430162,0.0851560274,-0.0126182701,-0.0178572821,-0.0031702963,0.9997018785,32.6285419464
65,-0.0323961441,0.0592392604,0.0851151504,-0.012699971,-0.0178526292,-0.003166776,0.9997009382,33.1301629543
66,-0.0312239637,0.0595303147,0.0850692849,-0.0127797774,-0.0178465937,-0.0031630949,0.9997000406,33.633548975
67,-0.0300717822,0.0598168134,0.0850184518,-0.0128579608,-0.017840312,-0.0031591596,0.9996991627,34.1343979836
68,-0.0289391952,0.0600988202,0.0849626921,-0.0129346993,-0.0178340594,-0.0031550356,0.9996982973,34.6366519928
69,-0.0278269789,0.0603760855,0.0849021066,-0.0130103222,-0.0178279291,-0.0031512304,0.9996974373,35.1376650333
70,-0.0267342377,0.0606488096,0.0848367942,-0.0130848535,-0.0178220469,-0.0031475001,0.9996965812,35.6378309727
71,-0.0256614469,0.060916817,0.0847666473,-0.0131580647,-0.0178157627,-0.003143456,0.999695745,36.1384999752
72,-0.0246084243,0.0611801431,0.0846920202,-0.0132305114,-0.0178100059,-0.003139845,0.9996949028,36.6407949924
73,-0.0235737992,0.0614391228,0.0846129529,-0.0133018925,-0.0178045112,-0.0031360263,0.9996940654,37.1410698891
74,-0.0225579969,0.061693625,0.0845296501,-0.0133724402,-0.0177994452,-0.0031323604,0.9996932259,37.6439290047
75,-0.02156079,0.0619436941,0.0844423926,-0.0134423771,-0.0177950609,-0.0031290408,0.9996923764,38.1480209827
76,-0.020580845,0.0621896739,0.0843513726,-0.0135116011,-0.0177914314,-0.0031257702,0.999691518,38.6498758793
77,-0.0196193977,0.0624312023,0.0842566223,-0.0135799811,-0.017787821,-0.0031224343,0.9996906661,39.1510419846
78,-0.0186748512,0.0626687112,0.0841585121,-0.0136478047,-0.0177851093,-0.0031193379,0.9996898004,39.6519548893
79,-0.0177470108,0.0629022548,0.0840573308,-0.013715226,-0.0177834752,-0.0031166613,0.9996889151,40.1530709267
80,-0.0168364458,0.0631316406,0.0839530497,-0.0137818367,-0.017781797,-0.0031137447,0.999688038,40.6540789604
81,-0.0159413639,0.0633573535,0.0838459211,-0.0138477299,-0.0177807371,-0.0031107366,0.9996871556,41.1558990479
82,-0.0150621169,0.0635793097,0.0837362995,-0.0139133225,-0.0177807762,-0.0031082537,0.9996862519,41.6585319042
83,-0.0141982403,0.0637976071,0.083624202,-0.0139782327,-0.017781153,-0.003105689,0.9996853476,42.1610059738
84,-0.0133492805,0.0640123571,0.0835097801,-0.0140424744,-0.0177819122,-0.0031030175,0.9996844421,42.6625759602
85,-0.0125154362,0.0642235309,0.0833934301,-0.0141065196,-0.0177837586,-0.0031009834,0.9996835139,43.1633749008
86,-0.0117276748,0.0644233155,0.0832803738,-0.014168199,-0.0177874485,-0.0030998623,0.9996825795,43.6642670631
87,-0.0108876784,0.0646367032,0.0831569495,-0.0142356515,-0.0177941549,-0.0030997974,0.999681502,44.1686730385
88,-0.0100615304,0.0648469625,0.0830329128,-0.0143036538,-0.0178031277,-0.0031004255,0.9996803697,44.6734280586
89,-0.0092795278,0.0650463805,0.0829133196,-0.0143694524,-0.0178136102,-0.0031014188,0.9996792362,45.1779448986
90,-0.0085094112,0.0652432038,0.0827937959,-0.0144357529,-0.0178259784,-0.0031028911,0.999678056,45.6777920723
91,-0.0077510586,0.0654374367,0.0826741878,-0.0145018895,-0.0178388987,-0.0031039476,0.999676865,46.1806418896
92,-0.0070338693,0.0656215585,0.0825594569,-0.0145653151,-0.0178520524,-0.0031049451,0.999675705,46.6816089153
93,-0.0062978452,0.0658110211,0.0824404005,-0.0146316511,-0.0178671283,-0.0031064571,0.9996744622,47.1907129288
94,-0.0055441019,0.0660055828,0.0823169081,-0.014700388,-0.0178833591,-0.0031078569,0.9996731592,47.6902320385
95,-0.0048305577,0.066190297,0.0821985036,-0.0147661439,-0.017899262,-0.0031089833,0.999671902,48.1913468838
96,-0.0041279251,0.0663727552,0.0820806436,-0.0148317477,-0.0179158219,-0.0031103,0.9996706301,48.6946768761
97,-0.0034358913,0.0665529949,0.0819630414,-0.0148967102,-0.0179322098,-0.0031111481,0.9996693677,49.1972279549
98,-0.0027545912,0.0667310296,0.0818459452,-0.0149613294,-0.0179489559,-0.003112096,0.9996680992,49.6980669498
99,-0.0020835851,0.0669069412,0.0817291482,-0.0150253335,-0.0179656537,-0.0031128162,0.999666837,50.2020900249
100,-0.0014216086,0.0670811376,0.0816131655,-0.0150896562,-0.0179842806,-0.0031144705,0.9996655281,50.7038319111
101,-0.0007698817,0.0672532246,0.0814976059,-0.0151532348,-0.0180023383,-0.0031155356,0.999664238,51.2061870098
102,-0.0001276137,0.0674234399,0.0813826332,-0.0152164843,-0.0180208103,-0.0031166475,0.999662941,51.7069709301
103,0.0005047621,0.0675916929,0.081268351,-0.0152793479,-0.0180394445,-0.0031178032,0.9996616424,52.2194268703
104,0.0011523328,0.0677646789,0.0811501398,-0.0153442136,-0.0180589003,-0.0031188774,0.9996602942,52.7208299637
105,0.0017660374,0.0679292804,0.0810370585,-0.0154061772,-0.0180780369,-0.0031199427,0.999658992,53.2214560509
106,0.0023708584,0.0680921575,0.0809245478,-0.0154676267,-0.018097277,-0.003120916,0.9996576919,53.7224428654
