,base frame,end effector frame,,,,,,
0,arm_base_link,arm_7_link,,,,,,
,px,py,pz,qx,qy,qz,qw,time
0,-0.2023761818,0.2261868343,0.4713992683,-0.1237275913,-0.1546326196,0.0201377665,0.9799319907,0.4362728596
1,-0.1729984338,0.2116384318,0.4691973066,-0.100175178,-0.0936008939,0.0164916988,0.9903655034,0.9443459511
2,-0.15224252,0.1950014855,0.46220548,-0.0756375054,-0.0517056231,0.0165386969,0.9956023141,1.4497818947
3,-0.1374237627,0.1786792982,0.4513149114,-0.0530788557,-0.0233788476,0.0158487756,0.9981367045,1.9527418613
4,-0.1272469629,0.1639377545,0.4378476478,-0.0343395908,-0.005445145,0.0133192626,0.9992525908,2.4548349381
5,-0.1202430029,0.1505338637,0.4221374635,-0.0192608115,0.0052986564,0.0096719195,0.9996996546,2.9634110928
6,-0.1155387591,0.1393227653,0.4058258438,-0.008647938,0.0110104518,0.0060636991,0.9998295928,3.4636569023
7,-0.1119879596,0.1294909721,0.3886230977,-0.0012688074,0.0139826738,0.0029512803,0.9998430701,3.9685349464
8,-0.1090783139,0.1207261876,0.3707485565,0.0036285282,0.0154079535,0.0005767691,0.9998205319,4.4709539414
9,-0.1065406873,0.1127785731,0.3523939576,0.0067267907,0.0160020792,-0.0010769442,0.9997947409,4.9738600254
10,-0.1042557907,0.1055249984,0.3338049099,-0.0084884476,-0.016087563,0.0021441685,0.999778245,5.4826159477
11,-0.1020113776,0.0983428631,0.3136724766,-0.0093943119,-0.0158891325,0.0027924919,0.9997717161,6.0285868645
12,-0.1001145453,0.0922541442,0.2952321623,-0.0096288679,-0.015537798,0.0030844723,0.9997741484,6.5310559273
13,-0.0983881948,0.0866715842,0.2771367975,-0.0095009873,-0.0150988268,0.0031618111,0.999781856,7.0326399803
14,-0.0967616443,0.0813925372,0.2588842653,-0.0091431153,-0.0145748388,0.003110494,0.9997931298,7.5353679657
15,-0.0953515807,0.0768049856,0.2419925572,-0.0086789637,-0.0140307193,0.0029749103,0.9998054633,8.0413599014
16,-0.0940777425,0.0726788891,0.2258586686,-0.0081622665,-0.0134582036,0.0027985477,0.9998181946,8.5419309139
17,-0.0929212234,0.0689929765,0.2105760459,-0.0076344773,-0.0128667841,0.0026131774,0.9998306516,9.0475170612
18,-0.0918676968,0.0657153596,0.196170487,-0.0071141043,-0.0122683751,0.0024206074,0.9998424962,9.5534169674
19,-0.0909000972,0.06281308,0.1826665549,-0.0066143357,-0.0116708408,0.0022309072,0.9998535218,10.0554940701
20,-0.089970393,0.0601532027,0.1695660264,-0.0061220905,-0.0110579816,0.0020372564,0.9998640361,10.5611560345
21,-0.089135144,0.0579038812,0.1578658813,-0.0056794667,-0.0104819778,0.0018615285,0.9998731952,11.079210043
22,-0.0883396398,0.0559245622,0.1470492901,-0.0052695816,-0.0099237146,0.0017048686,0.9998814154,11.5805630684
23,-0.0876080185,0.0542449612,0.1374335063,-0.00490397,-0.0094077531,0.0015619634,0.9998884965,12.0825839043
